Kennziffer;Raumeinheit;Aggregat;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Helfer;Offene Stellen mit Anforderungsniveau Helfer;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Fachkraft;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Spezialist
;;;2022;2023;2022;2023;2022;2023;2022;2023;2022;2023;2022;2023;2022;2023;2022;2023
"09565";"Schwabach";"Kreise";"52,05";"51,04";"31,28";"31,82";"6,41";"7,22";"5,13";"4,90";"21,05";"17,37";"59,28";"61,68";"6,93";"7,71";"12,74";"13,17"
"09571";"Ansbach";"Kreise";"38,71";"41,88";"31,40";"32,06";"5,80";"5,60";"7,05";"6,40";"26,70";"24,23";"57,88";"59,74";"4,93";"4,61";"10,50";"11,42"
"09572";"Erlangen-Höchstadt";"Kreise";"42,31";"41,73";"31,55";"30,79";"11,98";"11,99";"9,76";"10,79";"19,26";"21,54";"62,62";"60,18";"5,66";"5,67";"12,46";"12,65"
"09573";"Fürth";"Kreise";"39,94";"37,86";"33,98";"32,41";"7,67";"8,02";"9,49";"9,00";"22,87";"20,55";"61,92";"61,52";"5,99";"6,54";"9,22";"11,39"
"09574";"Nürnberger Land";"Kreise";"47,44";"48,06";"32,88";"33,39";"9,21";"8,13";"8,59";"8,75";"25,00";"19,70";"57,76";"60,07";"4,89";"6,20";"12,42";"14,05"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Kreise";"50,57";"49,65";"33,06";"30,82";"5,92";"6,84";"8,27";"8,39";"27,25";"24,65";"55,10";"56,72";"6,60";"6,73";"11,05";"11,86"
"09576";"Roth";"Kreise";"46,10";"47,06";"34,92";"34,56";"8,62";"6,43";"8,74";"8,70";"23,23";"23,29";"58,75";"58,69";"6,88";"5,64";"11,20";"12,37"
"09577";"Weißenburg-Gunzenhausen";"Kreise";"52,26";"52,19";"24,62";"23,39";"3,80";"4,34";"5,70";"4,44";"22,80";"22,74";"58,51";"56,88";"6,89";"7,46";"11,72";"12,90"
"09661";"Aschaffenburg, Stadt";"Kreise";"56,74";"57,26";"27,65";"26,56";"5,05";"5,04";"5,68";"5,98";"18,32";"16,32";"59,33";"60,38";"10,48";"11,34";"11,98";"11,99"
"09662";"Schweinfurt, Stadt";"Kreise";"54,29";"54,46";"24,63";"25,57";"3,45";"3,90";"3,56";"3,42";"17,29";"17,55";"54,09";"55,48";"16,57";"12,18";"12,12";"14,73"
"09663";"Würzburg, Stadt";"Kreise";"43,26";"43,07";"24,74";"24,90";"14,65";"14,31";"6,07";"6,87";"20,48";"19,00";"56,14";"55,63";"11,08";"12,45";"12,31";"12,93"
"09671";"Aschaffenburg";"Kreise";"46,42";"48,09";"32,47";"31,27";"8,01";"7,24";"7,91";"7,60";"24,90";"21,46";"58,15";"61,19";"6,37";"5,91";"10,58";"11,39"
"09672";"Bad Kissingen";"Kreise";"51,85";"52,14";"29,49";"28,63";"5,42";"5,11";"4,79";"5,55";"23,36";"21,01";"59,44";"59,35";"6,09";"6,40";"11,10";"13,19"
"09673";"Rhön-Grabfeld";"Kreise";"49,59";"48,98";"28,50";"33,28";"4,72";"4,84";"6,03";"5,55";"17,88";"19,26";"62,37";"58,38";"8,44";"9,55";"11,37";"12,79"
"09674";"Haßberge";"Kreise";"50,97";"48,56";"31,00";"33,57";"5,96";"5,26";"5,96";"6,41";"27,91";"24,22";"57,17";"59,56";"6,83";"6,21";"8,08";"9,98"
"09675";"Kitzingen";"Kreise";"55,48";"59,41";"27,13";"24,24";"5,85";"5,64";"5,52";"6,01";"33,33";"26,19";"52,92";"57,72";"4,03";"5,46";"9,72";"10,61"
"09676";"Miltenberg";"Kreise";"52,43";"53,61";"32,69";"31,92";"5,51";"4,68";"7,13";"6,50";"26,35";"19,08";"60,84";"65,05";"4,67";"5,70";"8,22";"10,15"
"09677";"Main-Spessart";"Kreise";"44,05";"45,82";"32,45";"30,21";"7,16";"7,13";"7,86";"7,52";"24,22";"17,17";"60,59";"63,24";"6,23";"9,60";"8,96";"9,95"
"09678";"Schweinfurt";"Kreise";"39,13";"40,39";"31,04";"32,25";"5,34";"4,30";"7,34";"7,90";"24,78";"25,85";"57,25";"54,52";"7,29";"8,10";"10,67";"11,55"
"09679";"Würzburg";"Kreise";"37,32";"31,91";"30,68";"27,68";"11,27";"10,22";"8,88";"8,42";"27,55";"29,15";"52,96";"54,02";"9,12";"6,73";"10,43";"10,09"
